Names,MCSN55Int,MCSN55Intval,MCSN6Int,MCSN6Intval,MCSN65Int,MCSN65Intval,MCSN7Int,MCSN7Intval,MCSN75Int,MCSN75Intval,MCSN55Mass,MCSN55Massval,MCSN6Mass,MCSN6Massval,MCSN65Mass,MCSN65Massval,MCSN7Mass,MCSN7Massval,MCSN75Mass,MCSN75Massval,MCSN_SNR_7,MCSN_SNR_7_val,MCSN_SNR_9,MCSN_SNR_9_val
ngc4303_SN2020jfo_,62.58017443150858,3.2031004428863525,340.1946381651217,6.6396379470825195,438.3940231835825,18.964431762695312,5211.1758803108705,60.47423553466797,5514.696745259977,187.87232971191406,62.58017443150858,3.2031004428863525,340.1946381651217,1040160.1618910985,472.52224566256183,3429893.327907578,5260.112379244555,10068661.55840519,nan,nan,370.17070391591375,7.323169708251953,404.3008794622045,12.777774810791016
ngc4303_SN2014dt_,59.28866404829043,3.0356876850128174,120.27513131662043,6.4309821128845215,240.83996113327603,18.87255096435547,2644.0569341556984,80.04247283935547,3308.9280214118553,185.2025604248047,59.28866404829043,3.0356876850128174,144.84520333262105,1140256.0672814087,274.4253783611387,3462436.0009200023,2678.267932495609,13314126.77643805,nan,nan,144.84520333262105,9.139185905456543,144.84520333262105,9.139185905456543
ngc4303_SN1964F_,19.267465489400372,3.621992349624634,42.32151212440632,6.497021198272705,1534.21436355777,20.01951026916504,2134.7037001966473,62.459285736083984,2269.693672005843,187.4920654296875,19.267465489400372,3.621992349624634,67.2324733737856,1143774.9405828118,1559.4451144313002,3389965.67493187,2184.155716107064,10372441.942727802,nan,nan,67.2324733737856,9.297468185424805,67.2324733737856,9.297468185424805
ngc4303_SN1961I_,271.1220951817008,5.3403000831604,288.4290014351114,6.532375335693359,796.7532484440807,18.724332809448242,6296.553006450939,62.179664611816406,6946.505215067836,185.2025604248047,271.1220951817008,5.3403000831604,288.4290014351114,1045625.9566135238,830.2608391242726,3244582.4335259907,6330.754063826803,10253855.790781155,nan,nan,553.0976479231012,7.446117877960205,586.8039871205931,9.353092193603516
ngc4303_SN1999gn_,20.268616500006676,6.382997035980225,20.268616500006676,6.382997035980225,117.09576862267127,20.694459915161133,1596.1358424373552,58.66224670410156,4089.9178710286074,186.79519653320312,20.268616500006676,6.382997035980225,21.492248677685637,1026057.0770958929,151.196372953022,3238224.7140315627,3150.4398217946896,10261033.310057007,nan,nan,20.268616500006676,7.0804595947265625,48.30491167365699,10.463611602783203
ngc4303_SN1926A_,342.78674359206354,2.474761962890625,753.3188952674144,6.689883708953857,1374.0690652957783,19.516071319580078,2324.8692837561057,58.663883209228516,5888.656028873586,187.29049682617188,342.78674359206354,2.474761962890625,787.8119850341664,1094886.017648474,1632.1249620713518,3308395.4542398695,2764.0220923465095,10783802.816151919,nan,nan,753.3188952674144,7.599118709564209,1064.3124240754935,9.10204029083252
ngc4321_SN2006X_,126.65804626520982,3.2952513694763184,189.22778630045494,5.869276523590088,359.7045382219446,19.468828201293945,1083.1343650654462,60.54716873168945,3263.6944571335443,192.1239013671875,126.65804626520982,3.2952513694763184,216.32303148222007,1040298.0991723315,392.7155591140152,3218547.6665479597,1231.580304840285,10152175.189442717,4020.6794673270947,35152048.14168817,205.05551411082467,8.233402252197266,216.32303148222007,9.043396949768066
ngc4321_SN1959E_,10.65649565432733,17.461816787719727,10.65649565432733,17.461816787719727,28.15113692543749,20.284095764160156,4206.0084983323395,59.956966400146484,4594.245515787172,196.92910766601562,10.65649565432733,17.461816787719727,10.65649565432733,2522682.413249847,64.28768855373218,3164704.133778134,4284.451276369186,10038049.90804573,5010.712186659699,32456688.362157315,10.65649565432733,17.701244354248047,10.65649565432733,17.701244354248047
ngc4321_SN2020oi_,6.601320975171955,18.59952735900879,6.601320975171955,18.59952735900879,6.601320975171955,18.59952735900879,134.50338895202384,64.76637268066406,200.77477726001385,185.59841918945312,6.601320975171955,18.59952735900879,6.601320975171955,2013784.4025115792,74.07322269598549,3582029.9827647787,160.61608705325347,10507253.474934312,250.05261898325003,38852692.22585831,6.601320975171955,11.264246940612793,6.601320975171955,11.264246940612793
ngc4321_SN1979C_,96.96833984548938,2.022798776626587,701.7931123116823,6.233104705810547,1088.9914322166658,18.575889587402344,1444.333057748289,65.36576843261719,7082.429541283296,195.5511474609375,96.96833984548938,2.022798776626587,701.7931123116823,1003511.0169087126,1125.3618193941177,3227087.160195354,1444.333057748289,10014637.319495222,7511.337923641237,33917414.42532357,236.8994727207657,7.852555274963379,873.2842869666347,9.18446159362793
ngc4321_SN1901B_,16.217608974124317,5.4790143966674805,32.95206950182446,6.2370805740356445,375.2361429425682,20.15619659423828,5429.02766974846,58.92905044555664,9348.094692036415,186.10044860839844,16.217608974124317,5.4790143966674805,16.217608974124317,1053493.1724780116,354.5195224142885,3342420.1186717595,5465.47290014249,10169412.927852659,9838.242679663315,32548988.676900666,32.95206950182446,7.592727184295654,74.35152882558509,9.115458488464355
ngc4321_SN2019ehk_,81.57654577199911,3.4355125427246094,130.93504132602558,6.022129058837891,1064.062416921636,18.679018020629883,1231.9513553710517,59.61270523071289,1349.425336431593,188.4044647216797,81.57654577199911,3.4355125427246094,424.53207078351153,1113098.0372082551,1129.5755148778485,3345923.8795926166,1281.9356074259354,10157574.947528584,1906.1889435310577,32134413.43905597,156.85571457668874,7.013576507568359,404.4829523708577,9.617009162902832
